"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Apuí",2,"2018","Outubro","Todas","Amazonas"
"2","Autazes",4,"2018","Outubro","Todas","Amazonas"
"3","Boa Vista do Ramos",6,"2018","Outubro","Todas","Amazonas"
"4","Borba",7,"2018","Outubro","Todas","Amazonas"
"5","Ipixuna",4,"2018","Outubro","Todas","Amazonas"
"6","Itacoatiara",32,"2018","Outubro","Todas","Amazonas"
"7","Itapiranga",2,"2018","Outubro","Todas","Amazonas"
"8","Manaus",281,"2018","Outubro","Todas","Amazonas"
"9","Parintins",21,"2018","Outubro","Todas","Amazonas"
"10","São Sebastião do Uatumã",2,"2018","Outubro","Todas","Amazonas"
"11","Tabatinga",9,"2018","Outubro","Todas","Amazonas"
"12","Uarini",1,"2018","Outubro","Todas","Amazonas"
